data,receita_bruta,receita_recebida,custo_fixo,custo_variavel,inadimplencia,prazo_medio_recebimento,fluxo_caixa,indicador_crise,dia_semana,mes,ano
2019-01-01,19707.817668041007,18871.899803554228,8147.574661445416,10557.933051927226,0.04241554689448622,47.97965673519583,-2314.3401687651026,0,1,1,2019
2019-01-02,18859.84393587519,18204.07192848634,8013.214713575019,9929.049530111572,0.034770807734068265,43.66693493360231,-1916.0444369203306,0,2,1,2019
2019-01-03,20036.682759918313,19089.870790542696,7781.1197098472985,9310.435588158465,0.047253928243532986,40.10067102151284,-98.99033873632743,0,3,1,2019
2019-01-04,25833.68606475038,24810.920471531066,7994.650047436275,13408.517100153489,0.03959038561728368,42.358929925751085,528.3997851824874,0,4,1,2019
2019-01-05,22871.28274843867,21951.015005062873,8364.887145740342,12453.468495307498,0.04023682245975546,41.448337548925544,-1360.0340043996944,0,5,1,2019
2019-01-06,22939.97848911738,21937.908096544896,8059.147393977083,11888.736710189867,0.04368227254650044,46.96115337777283,-832.5224923051487,0,6,1,2019
2019-01-07,21591.09309982322,20698.641269982847,8193.349582371577,10431.988921176178,0.041334258794321045,36.743592881881334,-10.37517337958434,0,0,1,2019
2019-01-08,20490.874917006047,19569.689896751228,7923.024420793466,10246.624530604264,0.0449558656712261,47.96266859793622,-1171.5057699403642,0,1,1,2019
2019-01-09,18784.7435005655,18002.17247722953,8142.636746905132,9666.112506378582,0.04165992595599781,44.413802052819875,-1997.110816942935,0,2,1,2019
2019-01-10,20283.2407010032,19530.08039902978,7645.130377697152,10163.060564956424,0.037132148312777745,48.66674116344519,-882.125249598746,0,3,1,2019
2019-01-11,22886.13819574565,21926.069393248094,7858.855779998625,10573.288148229663,0.04194979486211559,41.38045905422863,1008.142405437673,0,4,1,2019
2019-01-12,22950.027929313655,22160.033613030133,7978.848540237239,11043.70042224099,0.034422368404810416,40.493151425788774,679.0473993382097,0,5,1,2019
2019-01-13,24238.482285103408,23252.993372271212,7627.625539601512,12852.203225517687,0.04065802888318055,42.96665640480778,35.89508219406798,0,6,1,2019
2019-01-14,17007.61446342451,16325.716309551724,7762.338493104247,9118.49311052393,0.040093697757509206,42.846753736230866,-2471.5644619748928,0,0,1,2019
2019-01-15,17331.58447178589,16651.964793096544,8106.214232326554,8037.1757238025375,0.03921278402420158,49.03174205537465,-1728.3425396086855,0,1,1,2019
2019-01-16,19043.684661912743,18290.003442324483,8052.107469623253,10383.353396747183,0.039576438749567094,48.98402416528533,-2600.027206517115,0,2,1,2019
2019-01-17,18456.79640249565,17887.928058688092,8255.944715116611,8912.459592139783,0.030821618844461895,54.52511541767709,-1952.6443087958987,0,3,1,2019
2019-01-18,24698.114068480736,23775.332925889226,7834.7589752462045,12749.941357645659,0.03736241317992558,42.522539277410516,420.80374868329136,0,4,1,2019
2019-01-19,22655.866957948,21735.787116967753,8033.070141485782,11898.465179320041,0.04061110716654662,28.262247017562032,121.2321122690937,0,5,1,2019
2019-01-20,21851.843948035275,20956.743360763514,7815.10644340152,11607.58201796606,0.04096224508102629,42.95288713484591,-932.116695915865,0,6,1,2019
2019-01-21,22206.739759556436,21429.11548319296,8229.382424381922,12093.234643301319,0.03501748950017908,46.15328962604178,-1603.1568538757629,0,0,1,2019
2019-01-22,19850.308220009345,18926.64294721732,8375.644887439154,9553.79364664802,0.046531533039923315,48.57265345526084,-1521.473036038742,0,1,1,2019
2019-01-23,20321.81763891871,19593.022604765767,8164.295693789876,10889.459098636555,0.03586268940614912,46.5180213564186,-1957.7969656477499,0,2,1,2019
2019-01-24,18248.562042440106,17425.87462449286,8338.533721479465,8452.162581851293,0.045082314761784884,42.518612334551506,-1394.7504671921738,0,3,1,2019
2019-01-25,23673.047047165186,22672.564639045864,8030.802590445305,12321.917825852794,0.04226251086841512,53.57082178707778,-1007.7939135106662,0,4,1,2019
2019-01-26,24867.09031731464,23950.20285844566,8263.607975059957,13035.273364117622,0.0368715216444347,39.83132099718887,37.709963096740466,0,5,1,2019
2019-01-27,22753.50003114025,21638.089682897928,8045.432340327598,11781.132592990985,0.049021484462424755,43.62677575719081,-774.7768570227704,0,6,1,2019
2019-01-28,21023.76080010275,20304.509758147382,7716.205790550585,9991.152825930889,0.034211340625215546,39.60045079569596,394.2258276707189,0,0,1,2019
2019-01-29,19683.958138938826,18802.07564127537,8098.577820118354,10576.275638455942,0.04480209170527123,45.09788381045086,-2195.884180766173,0,1,1,2019
2019-01-30,20175.290350874577,19263.37921551157,7726.8495883540745,9419.557510563583,0.0451994057831974,52.945028793864346,-677.2749169194803,0,2,1,2019
2019-01-31,19784.203395529043,19055.1314648381,8728.054474944358,9009.00369044056,0.036851214886706195,44.295370380505936,-994.4037029693827,0,3,1,2019
2019-02-01,28243.268966672942,26915.90703148212,7926.966534823541,14735.826705405198,0.04699746112098818,44.3260007395326,984.4164899310035,0,4,2,2019
2019-02-02,25085.132711685583,24110.623851268454,8221.581532073296,12481.046862038187,0.03884806477277152,36.520189958113704,995.5993939872419,0,5,2,2019
2019-02-03,23343.655305147677,22373.105601765288,8025.223402563374,12486.75003713633,0.04157659504029633,43.56503907104501,-809.238302815294,0,6,2,2019
2019-02-04,22012.19214227476,21099.536601687258,7659.740534192737,10749.427617600964,0.04146136535101061,50.752435250166755,-243.47501636851484,0,0,2,2019
2019-02-05,19148.83530422098,18391.585428591454,7461.144845366594,8939.209784555536,0.03954547958656285,43.74881917171463,-213.18055803366087,0,1,2,2019
2019-02-06,21234.16140222511,20294.98807281121,8256.283133890662,11331.487482854925,0.044229358137754415,43.41104893043845,-1706.5543802945735,0,2,2,2019
2019-02-07,18191.503631309493,17387.373435259044,8497.258418382196,9184.725789813385,0.044203613530134876,50.52857287921647,-2701.622186091713,0,3,2,2019
2019-02-08,23167.499267547388,22440.179023777593,7812.892221170226,10863.694008558983,0.03139399014845815,43.43217943514718,1093.384898383907,0,4,2,2019
2019-02-09,25854.47915083734,24649.54119108111,7537.202770447912,13497.030925081814,0.04660461163137401,51.460268161135616,140.04174283359635,0,5,2,2019
